lon,lat,Name,Ord,Elevation,url,Description
12.300528,50.188139,25. Kapellenberg,First,756,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#25._Kapellenberg)
11.949833,50.488361,26. Stelzen,First,697,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#26._Stelzen)
11.643167,50.278278,27. Döbra,First,578,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#27._Döbra)
11.809917,50.03075,28. Ochsenkopf,First,456,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#28._Ochsenkopf)
13.834972,51.234222,29. Buchberg,First,246,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#29._Buchberg)
13.566722,51.209667,30. Großdobritz,First,264,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#30._Großdobritz)
13.474694,51.239722,31. Baselitz,First,973,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#31._Baselitz)
13.620722,51.3125,32. Basisende Quersa der Großenhainer Grundlinie,First,479,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#32._Basisende_Quersa_der_Großenhainer_Grundlinie)
13.554167,51.304944,33. Basismitte der Großenhainer Grundlinie,First,127,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#33._Basismitte_der_Großenhainer_Grundlinie)
13.495028,51.298167,34. Basisende RaschÃ¼tz der Großenhainer Grundlinie,First,412,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#34._Basisende_Raschütz_der_Großenhainer_Grundlinie)
13.248222,51.295639,35. Weida,First,462,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#35._Weida)
13.324639,50.901417,36. Freiberg,First,444,https://youtu.be/fPK78LJOo6I,Source: https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung
14.966917,50.984583,37. Königshain,Second,500,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#37._Königshain)
14.963694,50.861333,38. GÃ¼ckelsberg,Second,456,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#38._Gückelsberg)
14.795944,50.831278,39. Strassberg,Second,454,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#39._Strassberg)
14.814528,50.955417,40. Schanzberg,Second,123,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#40._Schanzberg)
14.887,51.054972,41. Hutberg,Second,456,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#41._Hutberg)
14.765028,51.105167,42. Rotstein,Second,654,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#42._Rotstein)
14.690806,50.960639,43. Spitzberg,Second,900,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#43._Spitzberg)
