lon,lat,Name,bkp,img_url,wiki_url,Hoehe,Ordnung,Color
12.386389,50.607444,139. Marienhoehe,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Station_139_Marienhoehe.jpg/80px-Station_139_Marienhoehe.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Station_139_Marienhoehe.jpg/80px-Station_139_Marienhoehe.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#139._Marienh%C3%B6he,498,2,Green
12.499001,50.520111,140. Schoenheide,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Mobilfunk-Sendemast_Kuhberg_%28St%C3%BCtzengr%C3%BCn%29_%2819%29.jpg/80px-Mobilfunk-Sendemast_Kuhberg_%28St%C3%BCtzengr%C3%BCn%29_%2819%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Mobilfunk-Sendemast_Kuhberg_%28St%C3%BCtzengr%C3%BCn%29_%2819%29.jpg/80px-Mobilfunk-Sendemast_Kuhberg_%28St%C3%BCtzengr%C3%BCn%29_%2819%29.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#140._Sch%C3%B6nheide,802,2,Green
12.469001,50.406194,141. Kiel,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Station_141_Kiel.jpg/80px-Station_141_Kiel.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Station_141_Kiel.jpg/80px-Station_141_Kiel.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#141._Kiel,944,2,Green
12.357062,50.452624,142. Wendelstein,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Station_142_Wendelstein1.jpg/80px-Station_142_Wendelstein1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Station_142_Wendelstein1.jpg/80px-Station_142_Wendelstein1.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#142._Wendelstein,728,2,Green
12.321333,50.554806,143. Wilhelmshoehe,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Station_143_Wilhelmsh%C3%B6he.jpg/80px-Station_143_Wilhelmsh%C3%B6he.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Station_143_Wilhelmsh%C3%B6he.jpg/80px-Station_143_Wilhelmsh%C3%B6he.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#143._Wilhelmsh%C3%B6he,506,2,Green
12.265201,50.449601,144. Lottengruen,,,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#(144._Lottengr%C3%BCn,646,2,Green
12.359444,50.409611,145. Schoeneck,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Station_145_Sch%C3%B6neck1.jpg/80px-Station_145_Sch%C3%B6neck1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Station_145_Sch%C3%B6neck1.jpg/80px-Station_145_Sch%C3%B6neck1.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#145._Sch%C3%B6neck,807,2,Green
12.329222,50.391472,146. Friedrichstein,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Station_146_Friedrichstein.jpg/80px-Station_146_Friedrichstein.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Station_146_Friedrichstein.jpg/80px-Station_146_Friedrichstein.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#146._Friedrichstein,722,2,Green
12.385889,50.339194,147. Hoher Brand,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Station_147_Hohenbrand.jpg/80px-Station_147_Hohenbrand.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Station_147_Hohenbrand.jpg/80px-Station_147_Hohenbrand.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#147._Hoher_Brand,795,2,Green
12.337833,50.266667,148. Landwuest,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Station_148_Landw%C3%BCst.jpg/80px-Station_148_Landw%C3%BCst.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Station_148_Landw%C3%BCst.jpg/80px-Station_148_Landw%C3%BCst.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#148._Landw%C3%BCst,661,2,Green
